一级单位,二级单位,三级单位,清单ID,排放源名称,清单属性,上级排放源序号,上级排放源名称,上级排放源编号
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1087,污泥3#头部料斗,简单运输,上级排放源名称1,污泥双绞笼搅拌站,JSSG_QD_YS1_1088
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1088,污泥双绞笼搅拌站,简单运输,上级排放源名称1,双角笼搅拌站至污泥3#皮带落料点,JSSG_QD_YS1_1133
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1089,污泥2#头部料斗,简单运输,上级排放源名称1,污泥集中灰仓至污泥2#皮带落料点,JSSG_QD_YS1_1126
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1090,污泥2#至双角笼搅拌站,简单运输,上级排放源名称1,污泥2#头部料斗,JSSG_QD_YS1_1089
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1091,污泥7#头部料斗,简单运输,上级排放源名称1,污泥9#至污泥7#皮带落料点,JSSG_QD_YS1_1129
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1092,污泥9#头部料斗,简单运输,上级排放源名称1,污泥9#搅拌站,JSSG_QD_YS1_1093
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1094,污泥8#头部料斗,简单运输,上级排放源名称1,污泥8#搅拌站,JSSG_QD_YS1_1095
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1096,S8头部料斗,简单运输,上级排放源名称1,S7到S8皮带落料点,JSSG_QD_YS1_1181
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1097,S7头部料斗,简单运输,上级排放源名称1,S6到S7皮带落料点,JSSG_QD_YS1_1182
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1098,S6头部料斗,简单运输,上级排放源名称1,S2，块矿筛分到S6皮带落料点,JSSG_QD_YS1_1183
